Iterations Stage 1,Iterations Stage 2,VQE Energy
50,100,-1.8266861545878608
55,95,-1.823642485865202
60,90,-1.817538169783206
65,85,-1.825768539845588
70,80,-1.827265579285899
75,75,-1.8165879438355752
80,70,-1.8173116686347122
85,65,-1.8233990060800296
90,60,-1.8198987646987406
95,55,-1.797930111826697
100,50,-1.791707413130305
105,45,-1.8128035716771005
110,40,-1.8112118219777278
115,35,-1.7996751004771925
120,30,-1.7842016669304286
125,25,-1.7233975373083528
130,20,-1.7179798653951233
135,15,-1.7070766278596752
140,10,-1.689123317719612
145,5,-1.6298613479548718
150,0,-1.365137089219004
